id,title,author,text,state,date_published,source,category,sentiment_score,word_count,char_count,has_images,has_videos,readability_score,num_shares,num_comments,political_bias,fact_check_rating,is_satirical,trust_score,source_reputation,clickbait_score,plagiarism_score,label
46,Breaking News 46,Emily Davis,This is the content of article 46. It contains detailed analysis and reports.,Pennsylvania,22-05-2023,BBC,Business,0.04,1424,4575,1,0,35.54,15093,390,Right,Mixed,1,92,9,0.78,26.13,Fake
47,Breaking News 47,John Doe,This is the content of article 47. It contains detailed analysis and reports.,New York,01-04-2021,The Guardian,Technology,0.37,292,1830,1,0,78.76,16705,241,Left,Mixed,0,3,5,0.95,53.82,Real
48,Breaking News 48,Alex Johnson,This is the content of article 48. It contains detailed analysis and reports.,California,01-11-2021,Washington Post,Politics,-0.03,616,4157,1,0,42.57,26734,535,Center,Mixed,0,90,6,0.9,8.51,Real
49,Breaking News 49,John Doe,This is the content of article 49. It contains detailed analysis and reports.,Ohio,17-12-2021,Washington Post,Health,0.25,773,7286,1,1,77.38,48021,503,Right,TRUE,0,56,7,0.26,64.49,Real
50,Breaking News 50,Chris Lee,This is the content of article 50. It contains detailed analysis and reports.,Indiana,19-05-2022,HuffPost,Entertainment,-0.72,416,2214,1,1,45.08,17393,191,Right,TRUE,0,46,10,0.99,45.28,Real
51,Breaking News 51,John Doe,This is the content of article 51. It contains detailed analysis and reports.,Florida,12-01-2021,Reuters,Politics,0.2,1481,911,0,1,57.83,13250,27,Left,FALSE,0,54,6,0.24,64.95,Real
52,Breaking News 52,Alex Johnson,This is the content of article 52. It contains detailed analysis and reports.,California,21-03-2022,New York Times,Entertainment,-0.64,441,1526,1,1,54.49,19780,179,Left,Mixed,0,47,2,0.52,81.55,Real
53,Breaking News 53,Alex Johnson,This is the content of article 53. It contains detailed analysis and reports.,New York,02-04-2020,BBC,Health,0.63,1415,2334,0,1,35.19,8712,178,Left,TRUE,1,28,3,0.89,51.97,Real
54,Breaking News 54,Jane Smith,This is the content of article 54. It contains detailed analysis and reports.,Maryland,22-11-2022,BBC,Health,-0.69,1348,2193,0,0,56.26,4345,289,Left,Mixed,1,9,4,0.49,73.04,Real
55,Breaking News 55,Jane Smith,This is the content of article 55. It contains detailed analysis and reports.,Indiana,15-12-2023,Daily Mail,Technology,-0.15,333,7279,0,1,57.71,33510,316,Center,Mixed,1,69,8,0.13,38.01,Real
56,Breaking News 56,Jane Smith,This is the content of article 56. It contains detailed analysis and reports.,North Carolina,29-11-2021,BBC,Entertainment,-0.27,181,5258,0,1,45.62,35015,463,Right,FALSE,0,91,2,0.66,38.51,Fake
57,Breaking News 57,Emily Davis,This is the content of article 57. It contains detailed analysis and reports.,Pennsylvania,26-08-2022,HuffPost,Technology,0.97,426,3331,0,1,37.68,30364,133,Right,FALSE,0,2,6,0.94,70.14,Fake
58,Breaking News 58,John Doe,This is the content of article 58. It contains detailed analysis and reports.,Pennsylvania,19-07-2022,Daily Mail,Business,0.85,587,7338,1,0,48.03,34498,982,Left,TRUE,1,49,3,0.99,73.86,Real
59,Breaking News 59,Emily Davis,This is the content of article 59. It contains detailed analysis and reports.,Florida,01-03-2024,Washington Post,Politics,-0.44,1023,6384,0,1,50.4,29139,309,Center,Mixed,1,76,2,0.98,96.91,Real
60,Breaking News 60,Jane Smith,This is the content of article 60. It contains detailed analysis and reports.,Illinois,23-11-2022,Washington Post,Technology,0.49,1138,7501,1,0,62.85,23392,965,Center,Mixed,0,69,4,0.36,24.09,Real
61,Breaking News 61,Chris Lee,This is the content of article 61. It contains detailed analysis and reports.,California,24-05-2023,Fox News,Technology,-0.4,966,2609,0,1,69.16,5615,262,Left,FALSE,1,32,5,0.27,78.08,Real
62,Breaking News 62,John Doe,This is the content of article 62. It contains detailed analysis and reports.,Arizona,03-06-2021,CNN,Entertainment,-0.32,607,2603,0,0,59.74,46294,111,Left,FALSE,1,46,7,0.39,6.02,Real
63,Breaking News 63,Alex Johnson,This is the content of article 63. It contains detailed analysis and reports.,Washington,22-12-2022,HuffPost,Politics,-0.92,593,6145,1,0,36.72,40148,853,Right,FALSE,1,5,9,0.49,19.08,Real
64,Breaking News 64,Emily Davis,This is the content of article 64. It contains detailed analysis and reports.,New York,31-01-2020,Washington Post,Sports,-0.21,1211,3807,0,1,32.58,18580,926,Right,Mixed,1,87,2,0,89.54,Fake
65,Breaking News 65,Chris Lee,This is the content of article 65. It contains detailed analysis and reports.,Indiana,17-05-2020,Washington Post,Business,-0.65,1007,5854,0,1,57.89,2508,637,Right,TRUE,0,17,6,0.37,15.52,Fake
66,Breaking News 66,Alex Johnson,This is the content of article 66. It contains detailed analysis and reports.,Maryland,14-09-2020,InfoWars,Politics,0.3,909,609,1,1,31.73,31922,326,Center,TRUE,1,26,1,0.93,20.8,Fake
67,Breaking News 67,Chris Lee,This is the content of article 67. It contains detailed analysis and reports.,Missouri,12-05-2020,The Onion,Health,0.12,1254,6858,0,1,76.47,4249,727,Center,Mixed,1,21,9,0.47,56.75,Fake
68,Breaking News 68,Alex Johnson,This is the content of article 68. It contains detailed analysis and reports.,Virginia,22-07-2022,The Onion,Entertainment,-0.8,770,623,1,0,64.63,10643,572,Left,FALSE,0,99,10,0.36,85.88,Fake
69,Breaking News 69,Jane Smith,This is the content of article 69. It contains detailed analysis and reports.,Indiana,03-10-2020,New York Times,Entertainment,-0.86,670,5158,0,0,74.25,25484,629,Right,TRUE,0,18,9,0.6,35.78,Real
70,Breaking News 70,Emily Davis,This is the content of article 70. It contains detailed analysis and reports.,Ohio,16-10-2021,Snopes,Business,0.24,508,3086,1,1,48.02,12675,266,Right,TRUE,0,3,3,0.67,51.71,Fake
71,Breaking News 71,Emily Davis,This is the content of article 71. It contains detailed analysis and reports.,Michigan,05-02-2021,The Onion,Sports,-0.62,1480,7595,1,1,37.82,16905,672,Left,Mixed,0,0,2,0.91,91.29,Real
72,Breaking News 72,Jane Smith,This is the content of article 72. It contains detailed analysis and reports.,Arizona,27-03-2023,Reuters,Business,0.64,243,4096,0,1,40.28,17756,670,Right,Mixed,0,31,10,0.92,92.54,Real
73,Breaking News 73,Chris Lee,This is the content of article 73. It contains detailed analysis and reports.,New Jersey,29-10-2022,The Onion,Entertainment,0.4,942,3194,0,1,57.23,32459,31,Center,Mixed,0,38,5,0.51,6.43,Fake
74,Breaking News 74,Alex Johnson,This is the content of article 74. It contains detailed analysis and reports.,New York,16-09-2021,CNN,Politics,0.39,1379,2094,0,0,61.87,46998,285,Right,FALSE,0,32,8,0.4,36.52,Fake
75,Breaking News 75,Chris Lee,This is the content of article 75. It contains detailed analysis and reports.,Tennessee,19-03-2020,New York Times,Entertainment,-0.58,116,6478,1,0,62.7,6376,796,Left,FALSE,1,43,8,0.18,22.8,Fake
76,Breaking News 76,John Doe,This is the content of article 76. It contains detailed analysis and reports.,New Jersey,27-02-2020,New York Times,Entertainment,0.1,1068,6486,0,1,51.89,36930,145,Right,FALSE,1,82,9,0.39,65.03,Real
77,Breaking News 77,John Doe,This is the content of article 77. It contains detailed analysis and reports.,Michigan,10-04-2023,The Onion,Sports,0.6,1161,3863,1,1,69.47,40522,19,Left,FALSE,1,61,10,0.93,33.91,Fake
78,Breaking News 78,Emily Davis,This is the content of article 78. It contains detailed analysis and reports.,Maryland,26-05-2020,Washington Post,Entertainment,-0.16,983,3124,1,1,46.81,21317,597,Left,Mixed,0,100,8,0.79,60.57,Fake
79,Breaking News 79,Alex Johnson,This is the content of article 79. It contains detailed analysis and reports.,Wisconsin,20-06-2022,BBC,Business,0.11,1316,6500,0,0,78.96,31671,501,Right,TRUE,1,61,1,0.12,99.48,Real
80,Breaking News 80,Jane Smith,This is the content of article 80. It contains detailed analysis and reports.,Illinois,04-09-2021,BBC,Sports,-0.95,1158,3873,1,1,53.43,38582,607,Left,Mixed,1,38,8,0.4,86.87,Fake
81,Breaking News 81,Jane Smith,This is the content of article 81. It contains detailed analysis and reports.,Indiana,31-07-2021,Fox News,Entertainment,-0.15,1493,4533,1,0,71.07,32719,184,Right,TRUE,0,45,2,0.84,12.62,Fake
82,Breaking News 82,Chris Lee,This is the content of article 82. It contains detailed analysis and reports.,New York,23-03-2023,HuffPost,Health,0.83,1000,2533,0,1,47.75,13633,890,Right,Mixed,0,45,3,0.97,0.37,Real
83,Breaking News 83,Emily Davis,This is the content of article 83. It contains detailed analysis and reports.,Arizona,25-06-2023,CNN,Sports,-0.96,1263,4452,1,1,59.79,33044,634,Center,TRUE,0,12,7,0.21,67.76,Fake
84,Breaking News 84,Emily Davis,This is the content of article 84. It contains detailed analysis and reports.,Wisconsin,27-05-2023,Daily Mail,Technology,0.73,797,1870,1,1,31.59,23538,853,Center,FALSE,1,39,1,0.49,64.92,Fake
85,Breaking News 85,John Doe,This is the content of article 85. It contains detailed analysis and reports.,Arizona,22-01-2022,New York Times,Business,0.25,1136,7243,0,1,71.47,46131,348,Center,FALSE,0,79,6,0.01,84.96,Real
86,Breaking News 86,Chris Lee,This is the content of article 86. It contains detailed analysis and reports.,Ohio,25-05-2020,HuffPost,Politics,-0.19,711,3895,0,0,65.76,37830,710,Center,TRUE,1,84,10,0.42,4.28,Real
87,Breaking News 87,John Doe,This is the content of article 87. It contains detailed analysis and reports.,Indiana,09-01-2022,Snopes,Business,0.22,744,2387,0,0,44.63,43249,851,Left,Mixed,0,80,3,0.61,19.42,Real
88,Breaking News 88,Emily Davis,This is the content of article 88. It contains detailed analysis and reports.,Tennessee,14-07-2020,New York Times,Sports,0.19,501,4378,1,0,44.88,45415,398,Right,Mixed,0,49,3,0.51,49.25,Fake
89,Breaking News 89,Jane Smith,This is the content of article 89. It contains detailed analysis and reports.,Arizona,23-07-2020,Reuters,Entertainment,0.25,1306,5347,1,1,76.82,39136,244,Center,FALSE,0,90,9,0.54,0.45,Real
90,Breaking News 90,Jane Smith,This is the content of article 90. It contains detailed analysis and reports.,Massachusetts,03-06-2022,The Onion,Politics,0.1,1175,5473,0,0,77.35,8996,781,Right,Mixed,1,60,1,0.06,33.99,Real
91,Breaking News 91,Emily Davis,This is the content of article 91. It contains detailed analysis and reports.,Ohio,27-02-2024,BBC,Politics,-0.95,830,5414,1,1,37.45,34318,441,Left,Mixed,1,18,10,0.11,65.45,Real
92,Breaking News 92,John Doe,This is the content of article 92. It contains detailed analysis and reports.,Tennessee,26-10-2022,Breitbart,Sports,0.44,798,7881,1,0,43.36,32056,770,Left,FALSE,1,73,4,0.61,74.94,Fake
93,Breaking News 93,Emily Davis,This is the content of article 93. It contains detailed analysis and reports.,New York,10-10-2023,Snopes,Business,0.95,184,730,1,0,66.81,22636,919,Center,FALSE,1,65,8,0.63,17.25,Real
94,Breaking News 94,Emily Davis,This is the content of article 94. It contains detailed analysis and reports.,Washington,24-03-2020,Daily Mail,Health,-0.86,269,2694,0,0,65.63,3154,915,Left,TRUE,1,22,9,0.65,71.84,Real
95,Breaking News 95,John Doe,This is the content of article 95. It contains detailed analysis and reports.,Illinois,12-05-2020,New York Times,Entertainment,-0.29,1475,2539,0,1,78.73,3858,860,Left,TRUE,0,24,7,0.42,24.44,Real
96,Breaking News 96,Emily Davis,This is the content of article 96. It contains detailed analysis and reports.,Maryland,21-11-2020,CNN,Entertainment,0.12,701,3687,0,1,35.27,44801,860,Right,FALSE,0,85,5,0.7,94.73,Real
97,Breaking News 97,Chris Lee,This is the content of article 97. It contains detailed analysis and reports.,Arizona,01-09-2022,BBC,Politics,0.1,104,4978,0,0,79.66,13697,347,Right,FALSE,1,60,10,0.14,15.05,Fake
98,Breaking News 98,Emily Davis,This is the content of article 98. It contains detailed analysis and reports.,Arizona,08-06-2023,Reuters,Health,0.98,764,6071,1,1,55.21,46591,442,Left,FALSE,0,69,5,0.41,60.13,Real
99,Breaking News 99,Alex Johnson,This is the content of article 99. It contains detailed analysis and reports.,New Jersey,20-01-2021,Snopes,Politics,0.99,432,3405,1,1,70.55,21384,685,Right,FALSE,1,23,7,0.58,21.21,Real
100,Breaking News 100,Emily Davis,This is the content of article 100. It contains detailed analysis and reports.,Missouri,18-10-2021,CNN,Health,-0.22,1163,5773,0,0,56.41,9178,286,Left,TRUE,1,31,6,0.8,7.26,Real
101,Breaking News 101,Alex Johnson,This is the content of article 101. It contains detailed analysis and reports.,New Jersey,14-02-2024,Reuters,Politics,-0.27,342,4028,1,1,50.15,17268,249,Right,TRUE,1,38,7,0.68,66.33,Real
102,Breaking News 102,John Doe,This is the content of article 102. It contains detailed analysis and reports.,Texas,28-11-2023,InfoWars,Technology,-0.75,1197,6382,1,1,60.32,7044,51,Center,FALSE,0,14,4,0.55,7.68,Real
103,Breaking News 103,Chris Lee,This is the content of article 103. It contains detailed analysis and reports.,Michigan,08-06-2023,CNN,Politics,-0.55,189,5845,1,0,74.61,31891,390,Center,TRUE,0,80,4,0.11,71.05,Real
104,Breaking News 104,John Doe,This is the content of article 104. It contains detailed analysis and reports.,Florida,06-07-2023,HuffPost,Health,-0.56,227,7398,0,1,67.08,14911,85,Center,Mixed,1,60,6,0.28,5.07,Real
105,Breaking News 105,Chris Lee,This is the content of article 105. It contains detailed analysis and reports.,California,16-01-2022,InfoWars,Politics,-0.82,777,931,0,0,55.16,34694,784,Right,FALSE,1,3,8,0.11,31.79,Fake
106,Breaking News 106,Chris Lee,This is the content of article 106. It contains detailed analysis and reports.,Pennsylvania,04-04-2020,New York Times,Business,-0.36,826,4634,0,0,63.3,34952,136,Left,FALSE,0,7,1,0.89,76.88,Fake
107,Breaking News 107,John Doe,This is the content of article 107. It contains detailed analysis and reports.,Arizona,23-08-2021,Snopes,Business,-0.1,1394,6346,1,0,57.75,27140,410,Left,FALSE,1,25,9,0.93,41.36,Real
108,Breaking News 108,Alex Johnson,This is the content of article 108. It contains detailed analysis and reports.,Ohio,23-06-2020,Snopes,Politics,-0.04,461,7878,1,1,43.07,49365,749,Right,TRUE,1,1,5,0.6,59.01,Fake
109,Breaking News 109,Chris Lee,This is the content of article 109. It contains detailed analysis and reports.,New Jersey,15-02-2024,Daily Mail,Health,0.64,383,4971,0,1,63.73,45877,79,Right,TRUE,1,58,1,0.76,53.89,Fake
110,Breaking News 110,Alex Johnson,This is the content of article 110. It contains detailed analysis and reports.,New York,25-09-2021,InfoWars,Entertainment,0.61,188,7107,0,1,66.42,5487,345,Center,TRUE,0,98,4,0.02,78.97,Fake
111,Breaking News 111,John Doe,This is the content of article 111. It contains detailed analysis and reports.,Missouri,22-04-2022,Daily Mail,Politics,0.13,1225,6566,0,1,55.09,35913,718,Right,FALSE,0,53,4,0.37,28.14,Fake
112,Breaking News 112,Emily Davis,This is the content of article 112. It contains detailed analysis and reports.,Missouri,23-01-2022,Daily Mail,Politics,-0.32,144,7002,0,0,49.3,15151,161,Center,TRUE,0,95,9,0.85,93.71,Fake
113,Breaking News 113,John Doe,This is the content of article 113. It contains detailed analysis and reports.,Pennsylvania,12-04-2021,New York Times,Health,-0.17,859,3545,1,1,59.5,47939,809,Right,FALSE,1,98,5,0.3,54.75,Fake
114,Breaking News 114,Emily Davis,This is the content of article 114. It contains detailed analysis and reports.,Massachusetts,29-08-2022,Snopes,Health,0.3,307,516,0,1,52.4,16008,708,Right,FALSE,1,16,1,0.7,21.07,Real
115,Breaking News 115,Alex Johnson,This is the content of article 115. It contains detailed analysis and reports.,Florida,24-04-2023,InfoWars,Business,-0.91,1420,6688,1,0,41.73,41679,157,Right,FALSE,0,60,9,1,71.07,Real
116,Breaking News 116,Jane Smith,This is the content of article 116. It contains detailed analysis and reports.,Wisconsin,22-11-2023,Reuters,Entertainment,0.91,1193,3066,0,1,35.37,22365,25,Left,Mixed,0,98,10,0.59,76.62,Real
117,Breaking News 117,Alex Johnson,This is the content of article 117. It contains detailed analysis and reports.,Michigan,07-11-2021,New York Times,Politics,0.53,1019,5215,1,0,41.77,24236,738,Center,TRUE,0,75,5,0.35,72.27,Fake
118,Breaking News 118,Alex Johnson,This is the content of article 118. It contains detailed analysis and reports.,California,21-10-2020,Breitbart,Sports,-0.17,844,988,1,0,64.92,37244,829,Right,TRUE,1,48,6,0.56,73.52,Fake
119,Breaking News 119,John Doe,This is the content of article 119. It contains detailed analysis and reports.,Virginia,28-02-2021,New York Times,Entertainment,-0.81,967,3892,1,0,51.06,11474,248,Right,TRUE,1,44,10,0.65,40.59,Real
120,Breaking News 120,Jane Smith,This is the content of article 120. It contains detailed analysis and reports.,New Jersey,07-11-2023,InfoWars,Business,0.65,185,7621,0,0,58.53,21813,686,Right,TRUE,0,80,1,0.34,69.4,Fake
121,Breaking News 121,Jane Smith,This is the content of article 121. It contains detailed analysis and reports.,North Carolina,19-02-2022,The Onion,Business,0.51,104,4158,0,0,54.1,44815,336,Right,TRUE,0,4,7,0.05,76.97,Fake
122,Breaking News 122,John Doe,This is the content of article 122. It contains detailed analysis and reports.,New Jersey,23-03-2022,Daily Mail,Business,0.39,1412,1551,1,0,51.01,44202,594,Center,Mixed,0,29,4,0.92,51.2,Real
123,Breaking News 123,John Doe,This is the content of article 123. It contains detailed analysis and reports.,Massachusetts,12-04-2020,Fox News,Sports,-0.34,451,6972,0,1,57.09,7401,580,Center,Mixed,1,42,5,0.28,55.45,Fake
124,Breaking News 124,Emily Davis,This is the content of article 124. It contains detailed analysis and reports.,North Carolina,31-07-2020,Fox News,Sports,0.27,1230,2093,0,0,38.14,44859,61,Left,FALSE,0,78,1,0.23,34.45,Fake
125,Breaking News 125,Alex Johnson,This is the content of article 125. It contains detailed analysis and reports.,Missouri,06-08-2021,HuffPost,Politics,0.54,229,4163,0,0,59.75,35882,261,Right,FALSE,0,38,1,0.65,4.18,Real
126,Breaking News 126,Jane Smith,This is the content of article 126. It contains detailed analysis and reports.,New Jersey,08-12-2020,BBC,Sports,-0.16,961,5125,0,1,43.67,10808,807,Center,Mixed,1,2,1,0.28,77.64,Fake
